experiment_number,cluster_config_type,hbase_config_type,table_config_type,phase,workload_type,total_number_operations,overall_throughput,number_insert_operations,insert_avg_latency,number_read_operations,read_avg_latency,number_update_operations,update_avg_latency,number_scan_operations,scan_avg_latency,number_delete_operations,delete_avg_latency,dfs_capacityUsed,dfs_bytes_written,dfs_bytes_read,dfs_writes_from_remote_client,dfs_writes_from_local_client,dfs_reads_from_remote_client,dfs_reads_from_local_client,dfs_readBlockOp_num_ops,dfs_readBlockOp_avg_time,dfs_writeBlockOp_num_ops,dfs_writeBlockOp_avg_time,storeFileCount,storeFileSize,hlogFileCount,hlogFileSize,blockCacheCount,blockCacheSize,blockCacheHitCount,blockCacheMissCount,blockCacheEvictionCount,numBytesCompactedCount,numFilesCompactedCount,compactionsCompletedCount,rs_ipc_avg_queueSize
82,2,2,1,1,workloada,50000020,17965.113187399125,4997350,13.819625201356718,45002650,1202.4306816598578,20,105227.7,0,0,0,0,15692787332.0,32211414112.0,8550480348.0,314.0,314.0,0.0,0.0,260663.0,255.62908496732027,628.0,11103.0,14.0,3454503135.0,32.0,1867120923.0,91087.0,6046991152.0,130326900.0,264840.0,166896.0,273744138251,3710,1213,215658.61320754717
83,2,2,1,1,workloada,50000020,17323.3366132184,4999603,13.37175711751513,45000397,1252.9034850292544,20,101968.0,0,0,0,0,13885759402.0,33103392582.0,8985252870.0,321.0,321.0,0.0,0.0,270343.0,56.041018387553045,642.0,32102.0,14.0,3448409407.0,32.0,1866268903.0,103654.0,6880127344.0,130265215.0,281955.0,163988.0,298904259692,4031,1312,231075.48323170733
84,2,2,1,1,workloada,50000020,18110.469517544338,4995434,13.83288699240146,45004566,1193.1257384861794,20,77863.05,0,0,0,0,14094149482.0,22777192152.0,3536535326.0,232.0,232.0,0.0,0.0,109965.0,2.0,464.0,103069.0,51.0,3448817147.0,38.0,2255349625.0,109664.0,7272988480.0,177717206.0,110144.0,2.0,0,0,0,323718.4683544304
85,2,2,1,1,workloada,50000020,18244.459704921406,5000967,14.110407847122367,44999033,1185.7193336799037,20,139155.25,0,0,0,0,16492763158.0,32940123668.0,8083800212.0,321.0,321.0,0.0,0.0,249783.0,5.129969988332428,642.0,21607.0,11.0,3445041546.0,37.0,2189267795.0,87945.0,5839718600.0,132180375.0,252993.0,160658.0,283127754337,3807,1236,277085.0541401274
86,2,2,1,1,workloada,50000020,17553.880759296622,5000262,13.701188457724815,44999738,1229.5910016631653,20,85726.35,0,0,0,0,15203218700.0,32948878880.0,8447553565.0,322.0,322.0,0.0,0.0,259498.0,3.975969943830675,644.0,138977.0,11.0,3445124020.0,38.0,2253164677.0,97926.0,6500854192.0,131842967.0,263625.0,160280.0,297058247557,3998,1300,236667.10769230768
87,2,2,1,1,workloada,50000020,17468.97597212231,4999278,13.450359831959736,45000722,1239.9091225247453,20,100326.4,0,0,0,0,13892712326.0,22800949192.0,4695271562.0,233.0,233.0,0.0,0.0,145956.0,4.614890885750962,466.0,88599.0,51.0,3454565841.0,32.0,1864716768.0,104537.0,6933693600.0,177325649.0,146109.0,41103.0,0,0,0,288910.83895705524
88,2,2,1,1,workloada,50000020,17897.93737010572,5003361,13.485569200383502,44996639,1210.6560982699175,20,124187.9,0,0,0,0,16755871886.0,32955038744.0,8224125455.0,321.0,321.0,0.0,0.0,254057.0,2.9024056861673047,642.0,24274.0,11.0,3446021770.0,39.0,2314773589.0,92058.0,6112144328.0,130559236.0,257115.0,160724.0,283626501102,3848,1256,254552.78056426332
89,2,2,1,1,workloada,50000020,17100.009405005174,5003072,14.62141540237678,44996928,1266.2198584090006,20,174894.7,0,0,0,0,15515704978.0,32987626226.0,9190103832.0,321.0,321.0,0.0,0.0,277289.0,4.842732839187883,642.0,52913.5,11.0,3452115041.0,32.0,1865033607.0,99270.0,6589991952.0,129803922.0,281236.0,175314.0,314169757718,4193,1358,258130.28313253014
90,2,2,1,1,workloada,50000020,16759.36270177016,4998202,14.252541613964382,45001798,1292.804587496704,20,127545.1,0,0,0,0,13813532104.0,22798589902.0,4701277938.0,233.0,233.0,0.0,0.0,146126.0,16.0,466.0,54229.0,51.0,3455097033.0,32.0,1865256910.0,104706.0,6945288648.0,177410071.0,146255.0,41105.0,0,0,0,206158.8076923077
91,2,2,1,1,workloada,50000020,17732.23823758575,4998213,13.825509237001304,45001787,1220.5319187658038,20,89327.25,0,0,0,0,15374601946.0,32392931880.0,8654136035.0,316.0,316.0,0.0,0.0,263285.0,246.63349358974352,632.0,15698.5,14.0,3448680077.0,32.0,1865233436.0,91560.0,6079035520.0,130597688.0,267752.0,168831.0,285393982452,3851,1255,236952.72981366463
92,2,2,1,1,workloada,50000020,17796.159232914353,4997404,14.012995347184258,45002596,1215.0680933384376,20,74324.25,0,0,0,0,15113844696.0,33477148012.0,8713562069.0,324.0,324.0,0.0,0.0,266438.0,3.540867147010494,648.0,280862.0,11.0,3448022949.0,38.0,2253579952.0,104428.0,6931691328.0,130373852.0,277809.0,160879.0,311938312691,4135,1333,181712.46505549067
93,2,2,1,1,workloada,50000020,17779.32655466876,5000652,14.19401370061344,44999348,1216.9927916955596,20,102490.4,0,0,0,0,13803595288.0,22809290062.0,4706104044.0,233.0,233.0,0.0,0.0,146289.0,4.64833860759494,466.0,53123.0,51.0,3456554142.0,32.0,1865475058.0,104865.0,6955423680.0,176956979.0,146434.0,41103.0,0,0,0,206713.16355140187
94,2,2,1,1,workloadc,10000020,26739.75533123872,8999008,14.377184462998589,1000992,7107.566777756466,20,317032.65,0,0,0,0,47964190814.0,49420325902.0,7260548922.0,501.0,501.0,0.0,0.0,194898.0,1004.9551224329742,1002.0,15470.666666666668,60.0,6454415139.0,30.0,1744466074.0,101536.0,6742248024.0,4737535.0,221240.0,86995.0,46468657840,615,167,2939831.3506493503
95,2,2,1,1,workloadc,10000020,25404.30958707835,9001567,13.501618773709067,998433,7612.323864495665,20,421027.85,0,0,0,0,48546669407.0,50405332244.0,8023017766.0,505.0,505.0,0.0,0.0,195072.0,580.1692451547091,1010.0,11882.2,63.0,6407280410.0,28.0,1643735959.0,104593.0,6943678560.0,4627464.0,241332.0,84263.0,46350883625,583,164,2970956.0316455695
96,2,2,1,1,workloadc,10000020,24128.88686206239,9000610,13.3794608365433,999390,8047.951607480563,20,331293.1,0,0,0,0,41894106642.0,42529050528.0,4816529899.0,451.0,451.0,0.0,0.0,143001.0,15.871459694989108,902.0,7778.569444444444,90.0,6318276915.0,29.0,1696185787.0,121856.0,8084249256.0,5896812.0,158758.0,20550.0,158959483,3,1,2724787.4629629627
97,2,2,1,1,workloadc,10000020,26991.646085536526,8998756,13.70079397641185,1001244,7127.575866621923,20,334553.25,0,0,0,0,47550227424.0,49188882958.0,7224724632.0,503.0,503.0,0.0,0.0,191490.0,1003.8593039246796,1006.0,12054.666666666668,56.0,6432900379.0,30.0,1754176439.0,91522.0,6077716120.0,4831307.0,217050.0,93866.0,44877217349,610,157,2341614.6233766237
98,2,2,1,1,workloadc,10000020,25037.117526733382,8999594,13.3665156450391,1000406,7722.794701351251,20,434622.9,0,0,0,0,49251019968.0,51124508172.0,8239625019.0,511.0,511.0,0.0,0.0,199283.0,1325.4159731710347,1022.0,10238.333333333332,54.0,6430545502.0,31.0,1824561419.0,79273.0,5266378208.0,4674487.0,249370.0,113452.0,54128793931,682,186,2687996.8125
